"myorder","myrow","mycol","corr","q","predictor","phenotype"
397,1,34,-0.629899075933538,0.000194686441547237,"Molecular.Weight","Peak_Freq_Down_Min_POD_alldonors"
385,1,33,-0.585634090906484,0.00069943857391866,"Molecular.Weight","Peak_Freq_Down_Med_POD_30171"
408,12,34,-0.582523922500149,0.00069943857391866,"Number.of.Carbons","Peak_Freq_Down_Min_POD_alldonors"
780,12,65,-0.579706364356594,0.00069943857391866,"Number.of.Carbons","Peak_Freq_Zero_Min_POD_alldonors"
769,1,65,-0.572572607576405,0.000788867078546817,"Molecular.Weight","Peak_Freq_Zero_Min_POD_alldonors"
337,1,29,-0.563186456209681,0.001020549196833,"Molecular.Weight","Peak_Freq_Down_Med_POD_11235"
404,8,34,-0.515767739751413,0.00665883420867459,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Down_Min_POD_alldonors"
396,12,33,-0.504520919773071,0.0076153982321515,"Number.of.Carbons","Peak_Freq_Down_Med_POD_30171"
776,8,65,-0.504232855197799,0.0076153982321515,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Zero_Min_POD_alldonors"
277,1,24,-0.501268734804004,0.0076153982321515,"Molecular.Weight","Peak_Freq_Down_Med_POD_1516"
600,12,50,-0.500639201482744,0.0076153982321515,"Number.of.Carbons","Peak_Freq_Zero_Med_POD_1118"
340,4,29,-0.493746367300124,0.00903626084079898,"OPERA..Melting.Point","Peak_Freq_Down_Med_POD_11235"
217,1,19,-0.487757934302271,0.0103916295608279,"Molecular.Weight","Peak_Freq_Down_Med_POD_1118"
228,12,19,-0.479618133604867,0.0129257335184886,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1118"
265,1,23,-0.477228772355672,0.0131268089426157,"Molecular.Weight","Peak_Freq_Down_Med_POD_1434"
348,12,29,-0.470209103835231,0.0157148993366407,"Number.of.Carbons","Peak_Freq_Down_Med_POD_11235"
589,1,50,-0.464956907015075,0.0173115720425999,"Molecular.Weight","Peak_Freq_Zero_Med_POD_1118"
289,1,25,-0.463922194251608,0.0173115720425999,"Molecular.Weight","Peak_Freq_Down_Med_POD_1518"
709,1,60,-0.458349479424817,0.0197680011208735,"Molecular.Weight","Peak_Freq_Zero_Med_POD_11235"
392,8,33,-0.450881140339243,0.0231017007544791,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Down_Med_POD_30171"
768,12,64,-0.44905918396946,0.0231017007544791,"Number.of.Carbons","Peak_Freq_Zero_Med_POD_30171"
300,12,25,-0.445744379849253,0.0231017007544791,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1518"
338,2,29,-0.44500724676366,0.0231017007544791,"OPERA..Boiling.Point","Peak_Freq_Down_Med_POD_11235"
720,12,60,-0.443499589348947,0.0231017007544791,"Number.of.Carbons","Peak_Freq_Zero_Med_POD_11235"
278,2,24,-0.443083961401546,0.0231017007544791,"OPERA..Boiling.Point","Peak_Freq_Down_Med_POD_1516"
757,1,64,-0.442814192251569,0.0231017007544791,"Molecular.Weight","Peak_Freq_Zero_Med_POD_30171"
280,4,24,-0.442717038856618,0.0231017007544791,"OPERA..Melting.Point","Peak_Freq_Down_Med_POD_1516"
313,1,27,-0.424866555557483,0.0386271170067733,"Molecular.Weight","Peak_Freq_Down_Med_POD_1535"
216,12,18,-0.416715496557421,0.0471758558117857,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1083"
276,12,23,-0.415779262106243,0.0471758558117857,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1434"
771,3,65,0.414244756077595,0.0477401658728829,"OPERA..Henry.s.Law.Constant","Peak_Freq_Zero_Min_POD_alldonors"
301,1,26,-0.410828847307488,0.0502269763198901,"Molecular.Weight","Peak_Freq_Down_Med_POD_1531"
229,1,20,-0.41032114697309,0.0502269763198901,"Molecular.Weight","Peak_Freq_Down_Med_POD_1309"
288,12,24,-0.406345473758112,0.0546051700296772,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1516"
344,8,29,-0.402957498923361,0.0583654122129518,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Down_Med_POD_11235"
596,8,50,-0.401183894021397,0.0595666160812765,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Zero_Med_POD_1118"
224,8,19,-0.399530988774665,0.0595666160812765,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Down_Med_POD_1118"
648,12,54,-0.398349764923143,0.0595666160812765,"Number.of.Carbons","Peak_Freq_Zero_Med_POD_1434"
388,4,33,-0.398343750780284,0.0595666160812765,"OPERA..Melting.Point","Peak_Freq_Down_Med_POD_30171"
400,4,34,-0.396972404983018,0.0603191167756334,"OPERA..Melting.Point","Peak_Freq_Down_Min_POD_alldonors"
272,8,23,-0.391133566929629,0.067396581364206,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Down_Med_POD_1434"
386,2,33,-0.39112424809268,0.067396581364206,"OPERA..Boiling.Point","Peak_Freq_Down_Med_POD_30171"
637,1,54,-0.389613726229164,0.0685703232818675,"Molecular.Weight","Peak_Freq_Zero_Med_POD_1434"
595,7,50,-0.387402491044709,0.0711117168322077,"OPERA..Octanol.Water.Distribution.Coefficient","Peak_Freq_Zero_Med_POD_1118"
588,12,49,-0.386133151977015,0.0718146026589078,"Number.of.Carbons","Peak_Freq_Zero_Med_POD_1083"
345,9,29,0.385235776125721,0.0718146026589078,"OPERA..Vapor.Pressure","Peak_Freq_Down_Med_POD_11235"
325,1,28,-0.384558191547805,0.0718146026589078,"Molecular.Weight","Peak_Freq_Down_Med_POD_1565"
644,8,54,-0.382486530511252,0.0732306084988831,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Zero_Med_POD_1434"
349,1,30,-0.382243383572821,0.0732306084988831,"Molecular.Weight","Peak_Freq_Down_Med_POD_20032"
819,3,69,0.379522311462884,0.075795361318961,"OPERA..Henry.s.Law.Constant","Total_Cells_Zero_Med_POD_1368"
324,12,27,-0.379235006089609,0.075795361318961,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1535"
285,9,24,0.378601501767392,0.075795361318961,"OPERA..Vapor.Pressure","Peak_Freq_Down_Med_POD_1516"
586,10,49,0.377929552023748,0.075795361318961,"OPERA..Water.Solubility","Peak_Freq_Zero_Med_POD_1083"
219,3,19,0.377046668719628,0.0761166302337584,"OPERA..Henry.s.Law.Constant","Peak_Freq_Down_Med_POD_1118"
399,3,34,0.374718925610252,0.0793647522280163,"OPERA..Henry.s.Law.Constant","Peak_Freq_Down_Min_POD_alldonors"
240,12,20,-0.37133490263408,0.0850039070024208,"Number.of.Carbons","Peak_Freq_Down_Med_POD_1309"
475,7,40,-0.370100558731291,0.0859905455097843,"OPERA..Octanol.Water.Distribution.Coefficient","Peak_Freq_Up_Med_POD_1434"
764,8,64,-0.369499310925234,0.0859905455097843,"OPERA..Octanol.Water.Partition.Coefficient","Peak_Freq_Zero_Med_POD_30171"
