,Name ,1083_qtprolong,1118_qtprolong,1309_qtprolong,1368_qtprolong,1392_qtprolong,1434_qtprolong,1516_qtprolong,1518_qtprolong,1531_qtprolong,1535_qtprolong,1565_qtprolong,11235_qtprolong,20032_qtprolong,20084_qtprolong,30145_qtprolong,30171_qtprolong,1083_negchron,1118_negchron,1309_negchron,1368_negchron,1392_negchron,1434_negchron,1516_negchron,1518_negchron,1531_negchron,1535_negchron,1565_negchron,11235_negchron,20032_negchron,20084_negchron,30145_negchron,30171_negchron,1083_poschron,1118_poschron,1309_poschron,1368_poschron,1392_poschron,1434_poschron,1516_poschron,1518_poschron,1531_poschron,1535_poschron,1565_poschron,11235_poschron,20032_poschron,20084_poschron,30145_poschron,30171_poschron,1083_asystole,1118_asystole,1309_asystole,1368_asystole,1392_asystole,1434_asystole,1516_asystole,1518_asystole,1531_asystole,1535_asystole,1565_asystole,11235_asystole,20032_asystole,20084_asystole,30145_asystole,30171_asystole,1083_cytotox,1118_cytotox,1309_cytotox,1368_cytotox,1392_cytotox,1434_cytotox,1516_cytotox,1518_cytotox,1531_cytotox,1535_cytotox,1565_cytotox,11235_cytotox,20032_cytotox,20084_cytotox,30145_cytotox,30171_cytotox,Cat
1-Pentafluoroethylethanol,1-Pentafluoroethylethanol,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
"3-(Perfluoro-2-butyl)propane-1,2-diol","3-(Perfluoro-2-butyl)propane-1,2-diol",300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,22.80305,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,86.07355,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
"Perfluoro-3,6-dioxaoctane-1,8-dioic_acid","Perfluoro-3,6-dioxaoctane-1,8-dioic_acid",300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200.234,300,300,36.0394,300,68.4231,27.95265,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFECA
Nonafluoropentanamide,Nonafluoropentanamide,300,300,300,300,300,0.3570795,300,0.612273,0.0567957,300,300,300,0.520383,300,300,300,300,17.2884,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,84.90165,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFAM
3-(Perfluoroisopropyl)-2-propenoic_acid,3-(Perfluoroisopropyl)-2-propenoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Octafluoroadipamide,Octafluoroadipamide,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFAM
Dodecafluoroheptanol,Dodecafluoroheptanol,300,300,300,300,300,300,300,300,300,300,300,300,0.5044465,300,300,300,15.2735,1.38654,19.36795,13.7221,18.04095,18.0545,18.9018,14.8661,15.69445,18.39265,20.3172,19.2446,18.33425,19.2785,19.3731,20.05275,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,38.10855,7.535015,50.3245,35.72075,45.0066,45.76575,48.23195,38.1258,42.5598,46.30955,50.61435,48.13385,47.71955,48.6114,47.9295,51.788,257.1345,95.5468,278.0575,300,134.1105,207.467,283.1825,256.908,300,300,233.0805,85.33345,58.3677,248.838,300,46.3548,alcohol
"3,3-Bis(trifluoromethyl)-2-propenoic_acid","3,3-Bis(trifluoromethyl)-2-propenoic_acid",300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluoro(4-methoxybutanoic)_acid,Perfluoro(4-methoxybutanoic)_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFECA
Perfluorobutanesulfonic_acid,Perfluorobutanesulfonic_acid,300,300,300,300,300,300,39.74015,300,300,300,300,300,300,300,300,300,300,300,300,300,300,126.231,29.66755,300,300,300,300,41.3904,300,300,300,73.64775,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFSA
"Perfluoro-3,6-dioxaheptanoic_acid","Perfluoro-3,6-dioxaheptanoic_acid",300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFECA
Heptafluorobutanol,Heptafluorobutanol,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
4_2_Fluorotelomer_sulfonic_acid,4_2_Fluorotelomer_sulfonic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFSA
Hexafluoroamylene_glycol,Hexafluoroamylene_glycol,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
Heptafluorobutyramide,Heptafluorobutyramide,300,300,300,300,300,300,0.03,0.03,0.03,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFAM
Perfluoropentanamide,Perfluoropentanamide,300,7.194115,300,300,300,0.54343,0.0468342,0.189784,2.03614,300,1.779395,300,0.1308045,300,300,17.04665,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.929766,PFAM
"2,2,3,3,4,4-Hexafluorobutanoic_acid","2,2,3,3,4,4-Hexafluorobutanoic_acid",300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.124623,PFCA
Ammonium_perfluorooctanoate,Ammonium_perfluorooctanoate,300,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,262.333,11.01525,100.6405,252.487,246.303,46.10615,58.3808,87.28,18.8923,43.50485,140.343,4.51008,79.8668,174.9445,285.3585,7.158295,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,110.496,300,300,300,300,300,300,256.082,300,300,72.39525,300,300,300,109.5,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluorononanoic_acid,Perfluorononanoic_acid,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,246.88,10.9806,35.2323,186.972,154.8115,19.9927,20.4307,51.1037,40.23985,31.82205,157.0605,2.795165,27.90495,129.229,203.694,7.85745,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,99.3571,300,300,300,201.996,197.477,300,300,300,300,31.5321,256.531,300,300,82.8306,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
2-Aminohexafluoropropan-2-ol,2-Aminohexafluoropropan-2-ol,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,222.237,16.8656,151.9225,245.3685,201.6635,85.73455,22.5828,113.713,125.7375,83.8477,206.515,7.51449,80.86125,115.7925,248.301,36.47085,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,100.2605,300,300,300,300,152.098,300,300,300,300,72.7854,300,300,300,252.7335,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
4_2_Fluorotelomer_alcohol,4_2_Fluorotelomer_alcohol,300,300,300,300,300,300,0.03,0.03,0.03,300,300,300,300,300,300,300,300,22.84985,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.03,300,300,89.1286,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,49.8536,0.03,n:2 FTOH
"Perfluoro-3,6,9-trioxatridecanoic_acid","Perfluoro-3,6,9-trioxatridecanoic_acid",300,300,300,300,300,300,0.03,300,0.03,300,300,300,300,300,300,300,21.81355,18.283,113.0495,196.967,165.785,22.7871,22.1881,207.4015,3.38426,79.39425,142.1815,23.10355,41.95305,77.9058,156.612,20.68995,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,79.3507,63.6984,300,300,300,89.2677,84.7966,300,11.3526,277.8625,300,92.23,153.158,267.601,300,72.9514,125.8725,129.935,151.3045,181.832,254.185,33.3309,55.39285,253.759,175.2355,158.8965,208.539,292.7515,104.0995,266.207,300,59.5312,PFECA
"1H,1H,5H-Perfluoropentanol","1H,1H,5H-Perfluoropentanol",300,300,300,300,300,300,4.5646,2.032195,0.03,300,300,300,300,5.77165,300,300,289.9725,22.77,300,300,300,300,300,300,45.93635,300,300,300,300,35.09295,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,86.33235,300,300,300,300,300,300,173.205,300,300,300,300,137.092,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
8_2_Fluorotelomer_alcohol,8_2_Fluorotelomer_alcohol,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,n:2 FTOH
Perfluorohexanoic_acid,Perfluorohexanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
6_2_Fluorotelomer_alcohol,6_2_Fluorotelomer_alcohol,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,58.6696,31.46315,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1.727725,300,300,300,5.240705,300,300,300,300,300,300,227.498,106.585,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,n:2 FTOH
Perfluorobutanoic_acid,Perfluorobutanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluorooctanoic_acid,Perfluorooctanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,280.058,7.02187,11.12075,153.301,151.41,26.07185,8.998475,92.74865,49.0225,41.83385,171.6275,5.135105,51.50335,175.64,263.4725,7.041215,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,120.209,183.1625,300,300,300,176.595,300,300,300,300,92.2136,300,300,300,106.8935,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Potassium_perfluorobutanesulfonate,Potassium_perfluorobutanesulfonate,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,33.8284,300,300,300,300,300,300,300,300,300,67.8272,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,116.3245,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,53.8751,300,300,300,300,300,300,300,300,300,300,PFSA
"2H,2H,3H,3H-Perfluorooctanoic_acid","2H,2H,3H,3H-Perfluorooctanoic_acid",300,178.4215,290.551,300,300,300,43.873,233.904,17.02825,300,138.5535,206.697,48.44045,159.439,300,205.1405,39.5844,19.9963,37.7337,148.2205,20.43525,23.77535,21.06255,105.232,24.88355,75.1357,102.1635,16.92465,29.7864,20.0291,22.2172,21.8222,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,124.135,67.4468,130.055,300,72.9713,90.83985,75.1249,300,92.67335,240.8585,300,59.9162,106.667,66.4298,77.757,71.8044,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluorohexanesulfonamide,Perfluorohexanesulfonamide,30.82845,300,300,300,300,300,300,300,300,16.8425,300,300,300,300,300,300,25.7392,1.328005,14.73645,135.133,91.7938,9.3744,14.29305,32.82435,6.44418,12.5652,91.9733,0.6929205,13.35275,54.3743,34.88975,7.69777,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,142.748,7.84354,90.7747,300,300,58.3735,77.75065,193.0015,40.827,71.1516,300,6.44629,96.01285,300,204.268,49.27285,151.2815,14.8978,70.67235,300,277.9215,20.61845,61.09175,300,281.1435,121.4215,300,267.0465,300,300,300,121.6695,FASA
6_2_Fluorotelomer_sulfonic_acid,6_2_Fluorotelomer_sulfonic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,12.84505,300,300,300,300,33.4919,42.5989,25.1146,300,39.5769,6.83683,300,300,300,24.4695,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,233.531,300,300,300,300,300,300,300,300,300,272.682,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,n:2 FTSA
8_2_Fluorotelomer_sulfonic_acid,8_2_Fluorotelomer_sulfonic_acid,245.1225,218.581,114.705,234.0845,257.163,17.2046,37.961,161.0915,47.3557,164.0485,221.3975,168.528,238.4145,21.9083,120.751,20.1227,300,221.944,33.9467,300,300,12.8244,6.596185,65.67815,1.063885,60.947,9.957585,0.121112,34.4633,0.767937,15.2796,6.389085,27.7639,300,300,77.4232,109.7945,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,16.53165,300,109.8085,300,300,300,89.28035,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,n:2 FTSA
9-Chloro-perfluorononanoic_acid,9-Chloro-perfluorononanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,269.682,13.08635,84.2662,298.37,274.5165,10.93855,14.8764,128.015,243.0345,39.9436,240.579,2.231085,44.8171,141.5665,272.917,6.24397,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,84.2985,300,300,300,87.3809,90.8762,300,300,243.5765,300,14.7445,271.7965,300,300,44.06625,222.062,297.2675,141.896,300,224.0785,36.69275,56.1507,247.478,268.4145,178.8015,112.1805,208.9625,167.8435,253.532,300,30.51,PFCA
